Nathan Kwan,UC Davis,24:24.1,192.34
Sam Nishi,Cal Poly,25:18.5,181.46
Benedict Bunz,Stanford University,25:21.2,180.92
Blake Zufall,UC Davis,25:41.7,176.82
Landon Woollard,Cal Poly,25:42.2,176.72
Eric Sindel,Cal Poly,25:51.0,174.96
Wyatt Mullen,Stanford University,25:54.3,174.30
Chris Myers,UC Davis,25:56.4,173.88
Anthony Palazzo,Cal Poly,25:58.0,173.56
Ethan Serpa,Cal Poly,25:58.3,173.50
Luke Letwin,Cal Poly,26:00.9,172.98
Thomas Busse,Cal Poly,26:03.7,172.42
Jake Dialesandro,UC Davis,26:03.8,172.40
Adam Cobert,UC Davis,26:16.0,169.96
TJ Melanson,Stanford University,26:47.6,163.64
Eric Jones,UC Davis,26:51.9,162.78
Nate Latavec,Cal Poly,26:53.4,162.48
Tom Mikkelson,Stanford University,26:56.9,161.78
Brian Hicks,Cal Poly,26:57.2,161.72
Joseph Grovers,UC Davis,27:00.7,161.02
Anthony Degleris,Stanford University,27:23.7,156.42
Nick Siino,UC Davis,27:24.0,156.36
Alexis Geslin,Stanford University,27:29.4,155.28
Noah Shlesinger,UC Davis,27:29.4,155.28
Adam Massini,Cal Poly,27:32.7,154.62
Michael Bereket,Stanford University,27:35.5,154.06
Matthew Busse,Cal Poly,27:39.7,153.22
Ryan Hodgens,Cal Poly,27:43.7,152.42
Tyler Harwood,Cal Poly,27:48.6,151.44
Lincoln Colby,Cal Poly,27:48.8,151.40
Bryan Chu,UC Davis,27:54.5,150.26
Ben Arbaugh,UC Davis,28:06.7,147.82
Ross Pfeifer,Cal Poly,28:10.0,147.16
Jake Whealen,UC Davis,28:19.7,145.22
Matt Millet,Stanford University,28:19.8,145.20
Ruy Barretto,UC Davis,28:24.9,144.18
Jason Tsugawa,UC Davis,28:41.3,140.90
Ethan Pence,Cal Poly,28:43.7,140.42
Jonathan Summer,UC Davis,29:05.5,136.06
Aidan Carpenter,UC Davis,29:09.3,135.30
Scott Lambert,Stanford University,29:10.1,135.14
Shane Messner,Cal Poly,29:10.3,135.10
Ross Wohlgemuth,Cal Poly,29:10.5,135.06
Gavin Tan,UC Davis,29:14.3,134.30
Drake Hougo,Stanford University,29:16.3,133.90
Felipe Dejesus,Cal Poly,29:16.7,133.82
Andrew Lewis,UC Davis,29:18.1,133.54
Kevin Krein,Cal Poly,29:31.0,130.96
Marshall Smith,Cal Poly,29:33.1,130.54
Brian Gaul,Cal Poly,29:44.6,128.24
Jesus Blanco,Cal Poly,29:47.6,127.64
Abhay Negi,UC Davis,29:48.4,127.48
Alan Dai,Stanford University,30:05.2,124.12
Andrew Sorensen,Cal Poly,30:22.3,120.70
Samir Rahman,UC Davis,30:37.9,117.58
Tylor Jilk,Stanford University,30:39.1,117.34
Gerardo Flores,UC Davis,31:16.3,109.90
Alec Reynolds,Cal Poly,31:22.6,108.64
Jacob Pritchard,UC Davis,37:39.7,33.22
