Roxanne Ramirez,University of Delaware,26:09.22,120.27
Casey Birdsall,University of Delaware,26:18.94,117.67
Josephine Sorge,University of Delaware,26:33.66,113.75
Casey Moore,University of Delaware,26:59.65,106.82
Haley Reid,University of Delaware,27:19.75,101.46
Alana Waggoner,University of Delaware,27:24.08,100.30
Maggie McNiff,University of Delaware,27:24.75,100.12
Kristen Arborio,University of Delaware,27:25.10,100.03
Emma Bateman,University of Delaware,28:20.03,85.38
Lydia Izzo,University of Delaware,29:04.87,73.43
Monika Farmer,University of Delaware,29:17.67,70.01
Kerry Schwartz,University of Delaware,29:30.62,66.56
Lexie Mcmann,University of Delaware,29:43.55,63.11
Hannah Foss,University of Delaware,30:02.58,58.04
Ally Delaney,University of Delaware,30:30.44,50.61
Maria Gorecki,University of Delaware,30:48.00,45.92
Adrienne Shumlich,University of Delaware,31:12.86,39.29
Amanda Clarke,University of Delaware,31:27.26,35.45
Katie Blanchard,University of Delaware,31:54.50,28.19
Jen Shellenberger,University of Delaware,32:04.35,25.56
Nicole Fortunato,University of Delaware,32:39.83,16.10
Krista Charamella,University of Delaware,32:43.03,15.25
Megan Gregory,University of Delaware,32:59.56,10.84
Kristen Kuus,University of Delaware,33:23.53,4.45
Karen Rams,University of Delaware,33:25.95,3.80
Tess Carella,University of Delaware,34:14.60,-9.17
Nicole Foley,University of Delaware,34:20.40,-10.72
Megan Heston,University of Delaware,34:54.67,-19.85
Mariah Eastburn,University of Delaware,34:54.67,-19.85
Carin Prechtl,University of Delaware,37:57.70,-68.66
Abby King,University of Delaware,38:54.54,-83.82
