William Wolf,University of Illinois,26:35.54,175.99
Josh Feldman,University of Illinois,27:00.56,170.99
David Choi,University of Illinois,27:05.62,169.98
Arturo Woodward-Montes,University of Illinois,27:15.00,168.10
Jared Ripoli,University of Illinois,27:19.27,167.25
Justin Shim,University of Illinois,27:26.46,165.81
Leonel Rodriguez,University of Illinois,27:29.84,165.13
Ryan Somerfield,University of Illinois,27:34.41,164.22
Quinn Todzo,University of Illinois,27:44.04,162.29
Zach Mesplay,University of Illinois,27:44.12,162.28
Michael Frinter,University of Illinois,27:54.66,160.17
Eli Walker,University of Illinois,28:17.46,155.61
Alex Hanskat,University of Illinois,28:51.67,148.77
Dan Johnson,University of Illinois,29:12.97,144.51
Evan Patel,University of Illinois,29:21.67,142.77
Jeff Abbott,University of Illinois,30:14.45,132.21
Ciaran Lynch,University of Illinois,30:29.19,129.26
Tyler Dixon,University of Illinois,30:31.21,128.86
Austin Kuehr,University of Illinois,30:44.95,126.11
Sean Frintner,University of Illinois,31:37.48,115.60
Cody Hansen,University of Illinois,31:46.12,113.88
Zachary MacAdam,University of Illinois,32:42.27,102.65
Chris Kennedy,University of Illinois,33:17.07,95.69
Jacob Anderson,University of Illinois,35:23.04,70.49
