Natalie Obssuth,Boston University,20:04.00,113.33
Michelle Alessandro,Boston University,20:26.00,106.00
Emma Seevak,Harvard University,21:12.00,90.67
Annie Geasa,Boston University,21:18.00,88.67
Sarah Angell,Harvard University,21:35.00,83.00
Madeleine Nakada,Harvard University,22:32.00,64.00
Kristen Althoff,Harvard University,23:25.00,46.33
Alina Acosta,Harvard University,23:25.00,46.33
Andrea Castano,Boston University,23:30.00,44.67
Alison Steinbach,Harvard University,23:58.00,35.33
Audrey Wack,Boston University,25:24.00,6.67
Gloria Chen,Harvard University,25:25.00,6.33
Mary Broker,Harvard University,25:36.00,2.67
