Luke Mazzu,Virginia Tech,27:37.00,186.07
Michael Holland,Clemson University,28:02.00,181.07
Connor Lee,Virginia Tech,28:40.00,173.47
Robbie Simmons,Clemson University,28:46.00,172.27
Ethan Pacifico,Virginia Tech,28:49.00,171.67
Chris Holland,University of Virginia,28:50.00,171.47
Jack Zelman,University of Virginia,28:51.00,171.27
Harrison Wood,Virginia Tech,28:54.00,170.67
Brandon von Kannewurff,University of Virginia,28:57.00,170.07
Austin Wozniak,Virginia Tech,29:06.00,168.27
Campbell Ross,University of Virginia,29:09.00,167.67
Geoffrey Mearns,University of Virginia,29:11.00,167.27
Nathan Treat,University of Virginia,29:18.00,165.87
Logan Burns,University of Virginia,29:30.00,163.47
Kevin Dannaher,James Madison University,29:37.00,162.07
Patrick Wachter,College of William and Mary,29:38.00,161.87
Thomas Lane,George Washington University,29:43.00,160.87
Matthew Glessner,University of Maryland Baltimore County,29:47.00,160.07
Travis Moe,University of Virginia,29:50.00,159.47
Brandon Folio,University of Maryland Baltimore County,30:16.00,154.27
Yeshwant Chillakuru,George Washington University,30:23.00,152.87
Jeremey Levine,University of Virginia,30:25.00,152.47
Mike Hughes,University of Virginia,30:27.00,152.07
Kyle Jones,University of Virginia,30:27.00,152.07
Josh Stead,College of William and Mary,30:43.00,148.87
James Esernio,University of Virginia,30:43.00,148.87
Dan Brown,College of William and Mary,30:43.00,148.87
Kevin Wegner,University of Maryland Baltimore County,30:52.00,147.07
Bryan Bergan,Virginia Tech,30:52.00,147.07
Brendan Coffey,Virginia Tech,30:53.00,146.87
Erik Higgins,Virginia Tech,30:53.00,146.87
Ben Hauk,College of William and Mary,30:55.00,146.47
Ben Connelly,University of Virginia,31:01.00,145.27
Jon Silberstein,College of William and Mary,31:12.00,143.07
Christopher Jones,West Virginia University,31:19.00,141.67
Alex Pheneger,Virginia Tech,31:24.00,140.67
Eric Egeli,Virginia Tech,31:36.00,138.27
Tom Kersting,University of Maryland Baltimore County,31:37.00,138.07
Jason McAvoy,James Madison University,31:41.00,137.27
Jordan Lang,James Madison University,31:41.00,137.27
Oliver Thorum,Virginia Tech,31:44.00,136.67
Matthew DelVecchio,Virginia Tech,31:46.00,136.27
Jonathan Lee,University of Virginia,31:47.00,136.07
Owen Little,University of Virginia,31:49.00,135.67
Sean Hagerup,University of Virginia,31:53.00,134.87
Daniel Sausen,University of Virginia,32:00.00,133.47
Christian Averill,Virginia Tech,32:00.00,133.47
Nate Geerdes,University of Virginia,32:04.00,132.67
Hagood Grantham,University of Virginia,32:06.00,132.27
Jordan Shimer,George Mason University,32:07.00,132.07
Sean Griswold,West Virginia University,32:16.00,130.27
Thomas Jackson,Virginia Tech,32:18.00,129.87
tyler spence,James Madison University,32:22.00,129.07
Kyle Forst,Virginia Tech,32:24.00,128.67
nirmal nandi,University of Maryland Baltimore County,32:26.00,128.27
