Lauryn Falcone,West Virginia University,24:21.00,135.19
Elizabeth Buckley,Virginia Tech,24:59.00,125.05
Mary Lynch,University of Virginia,25:01.00,124.52
Misha Suresh,James Madison University,25:03.00,123.99
Nayiri Krzysztofowicz,University of Virginia,25:13.00,121.32
Justine Falcone,University of Florida,25:38.00,114.65
Mary Easton,University of Virginia,25:38.00,114.65
Sydney Gilstrap,Clemson University,25:44.00,113.05
Rachel Tischler,University of Virginia,25:52.00,110.92
Carley McGlinn,Clemson University,26:13.00,105.32
Sydney Saunders,University of Virginia,26:13.00,105.32
Tori Reese,College of William and Mary,26:19.00,103.72
Brooke Grice,University of Virginia,26:25.00,102.12
Jaiana Francis,West Virginia University,26:30.00,100.79
Lisa Kripowicz,Virginia Tech,26:47.00,96.25
Paige Macauley,Virginia Tech,26:48.00,95.99
Candace Craig,University of Virginia,26:51.00,95.19
Nora Barnes-Horowitz,University of Virginia,27:00.00,92.79
Annie Sadler,College of William and Mary,27:07.00,90.92
Daria Yoder,Clemson University,27:09.00,90.39
Summer Chambers,University of Virginia,27:12.00,89.59
Cameron Lloyd,University of Virginia,27:18.00,87.99
Paige Rathburn,Virginia Tech,27:33.00,83.99
Elizabeth Barron,Virginia Tech,27:38.00,82.65
Madison Albert,West Virginia University,28:03.00,75.99
Elizabeth Franck,University of Virginia,28:16.00,72.52
Jenny Frietas,West Virginia University,28:25.00,70.12
Sam Hess,James Madison University,28:33.00,67.99
Rachel Smith,College of William and Mary,28:40.00,66.12
Sarah Christen,Virginia Tech,28:42.00,65.59
Hollis Hatfield,Virginia Tech,28:43.00,65.32
Maia Lemma,James Madison University,28:45.00,64.79
Allison Burns,Virginia Tech,28:49.00,63.72
Michelle Singh,George Washington University,28:52.00,62.92
Kinsey Reed,West Virginia University,28:58.00,61.32
Erin Goodstein,College of William and Mary,29:00.00,60.79
Cecelia Hogan,James Madison University,29:04.00,59.72
Lindsey Caldwell,West Virginia University,29:06.00,59.19
Rebecca Lachman,Virginia Tech,29:17.00,56.25
Kieran Madden,George Washington University,29:26.00,53.85
Gabrielle Bomberg,Virginia Tech,29:30.00,52.79
Amber Watkins,University of Virginia,29:31.00,52.52
Ali Russell,Virginia Tech,29:31.00,52.52
Sara Owre,George Washington University,29:36.00,51.19
Audrey Velanovich,American University,29:45.00,48.79
Melanie Mackenzie,American University,29:48.00,47.99
Melanie Bomberg,Virginia Tech,29:50.00,47.45
Carly Jenison,University of Virginia,29:53.00,46.65
Kelly Rock,Virginia Tech,29:56.00,45.85
Allie Andrews,James Madison University,30:00.00,44.79
Katie Rundzieher,Clemson University,30:01.00,44.52
Ciera Ulan,Virginia Tech,30:03.00,43.99
Rachel Phandinh,Virginia Tech,30:15.00,40.79
Meredith Davis,University of Virginia,30:37.00,34.92
Courtney Dineen,University of Virginia,30:46.00,32.52
Kristen Connors,James Madison University,30:46.00,32.52
Stephanie Chong,James Madison University,30:50.00,31.45
Rebecca Pearson,University of Virginia,30:55.00,30.12
Julia Siegel,University of Virginia,30:55.00,30.12
Brittany Young,College of William and Mary,30:56.00,29.85
Briana Susca,James Madison University,31:02.00,28.25
Elizabeth Brew,George Washington University,31:11.00,25.85
Ada Palczynski,James Madison University,31:16.00,24.52
Rebecca Burkley,University of Virginia,31:24.00,22.39
Meghan Markwell,James Madison University,31:25.00,22.12
Twyla Lee,Virginia Tech,31:28.00,21.32
Rachel Stukenborg,James Madison University,31:38.00,18.65
Kelly Sullivan,Virginia Tech,31:47.00,16.25
Isabelle Brown,Virginia Tech,31:59.00,13.05
Dimple Mozhi,Virginia Tech,32:02.00,12.25
Jackie Adams,American University,32:09.00,10.39
Sarah Carey,Virginia Tech,32:38.00,2.65
Halle Esparza,James Madison University,32:41.00,1.85
Esther Grambs,George Washington University,32:43.00,1.32
Kelly Spaine,University of Virginia,32:46.00,0.52
Morgan Vick,Virginia Tech,32:48.00,-0.01
Hollis Young,James Madison University,33:07.00,-5.08
Emily Merritt,University of Maryland Baltimore County,33:10.00,-5.88
Katie Parnow,George Washington University,33:54.00,-17.61
Kelly Dwyer,James Madison University,34:09.00,-21.61
April Aralar,George Mason University,34:30.00,-27.21
Katherine Iskander,Virginia Tech,34:35.00,-28.55
Alison Duke,West Virginia University,34:48.00,-32.01
Barbara Boylan,George Washington University,35:09.00,-37.61
Madeline Kennedy,Virginia Tech,35:13.00,-38.68
Zoe Smith,Virginia Tech,35:28.00,-42.68
Grace Rotar,American University,36:11.00,-54.15
Jocelyn Shworak,George Washington University,36:14.00,-54.95
Hannah Barry,George Washington University,36:26.00,-58.15
Jessica Connor,American University,36:28.00,-58.68
Annie Bradford,James Madison University,36:33.00,-60.01
Emma Wesley,James Madison University,36:43.00,-62.68
Cheyenne Carter,West Virginia University,36:54.00,-65.61
Cheyenne Carter,West Virginia University,36:54.00,-65.61
Natalie Sharpe,West Virginia University,37:01.00,-67.48
Gianna Alfonso,Clemson University,37:10.00,-69.88
Sarah Persichetti,American University,38:17.00,-87.75
