John Fullam,St. John's University,25:53.20,171.43
Leif Fredericks,Princeton University,26:01.10,169.85
Caleb Peckham,Princeton University,26:04.30,169.21
Zartosht Ahlers,Princeton University,26:08.40,168.39
Liam Collins,Princeton University,26:08.70,168.33
Ian Iverson,Princeton University,26:21.40,165.79
Henry Wesley Burt,Princeton University,26:28.20,164.43
Gerry Angelatos,Princeton University,26:35.40,162.99
Sricharan Kadimi,University of Connecticut,26:45.00,161.07
Clivensky Etienne,St. John's University,26:57.10,158.65
Timothy Cannata,University of Connecticut,27:18.50,154.37
Isaac Martinez,Princeton University,27:20.00,154.07
Mitchell Klema,Villanova University,27:23.90,153.29
Gary Smolyak,Towson University,27:26.00,152.87
Brad Ensor,Towson University,27:36.10,150.85
Matthew DeLeon,University of Connecticut,27:46.00,148.87
William Nolan,Princeton University,27:51.50,147.77
Cory Loftis,University of Connecticut,27:56.40,146.79
Yosef Robele,University of Pennsylvania,28:04.40,145.19
Jeff Wu,Princeton University,28:07.80,144.51
Lyle Wilson,Towson University,28:12.00,143.67
Ryan DeGregorio,Rutgers University,28:14.40,143.19
Andrew Suter,University of Connecticut,28:22.70,141.53
Dan McGraw,University of Connecticut,28:28.60,140.35
Harry Prevor,University of Pennsylvania,28:58.20,134.43
Steven Ignatowich,University of Connecticut,29:05.00,133.07
Matthew Moschella,Princeton University,29:19.90,130.09
Andrew Daly,Lehigh University,29:21.60,129.75
Wyatt Gilman,Villanova University,29:35.10,127.05
Adam Kasle,University of Connecticut,29:35.40,126.99
Matthew Benedict,University of Connecticut,29:42.40,125.59
Justin Gottlieb,Lehigh University,29:49.80,124.11
John Cassidy,University of Connecticut,29:51.60,123.75
Bailey Backal,Rutgers University,30:01.60,121.75
John Schuerger,Loyola University Maryland,30:04.00,121.27
Brendan McClure,Rutgers University,30:19.00,118.27
Peter Hauman,Lehigh University,30:27.40,116.59
Salvatore Zerbo,Drexel University,30:32.10,115.65
Christopher Eguizabal,St. John's University,30:46.40,112.79
Thomas Condron,St. John's University,30:50.90,111.89
Alexander Vetre,University of Connecticut,30:56.60,110.75
Michael Whitmore,Princeton University,30:58.30,110.41
Matthew Mehring,East Carolina University,31:16.00,106.87
Andrew Redlund,University of Connecticut,31:24.30,105.21
Jay Hiller,Drexel University,31:29.10,104.25
Francis Stino,University of Connecticut,31:32.80,103.51
Sean Sokol,St. John's University,31:37.90,102.49
Ben Snyder,Towson University,32:20.30,94.01
Johnny Forde,University of Pennsylvania,32:20.60,93.95
Cameron Tracy,University of Connecticut,32:32.80,91.51
David Csordas,University of Connecticut,32:38.90,90.29
Louis Lin,Lehigh University,32:42.30,89.61
Vincent Li,University of Connecticut,32:47.40,88.59
Timothy Court,University of Connecticut,33:53.90,75.29
Joseph Gasparini,St. John's University,33:56.40,74.79
John Baldino,University of Connecticut,33:56.90,74.69
Kyle Wojciechowski,Lehigh University,34:44.70,65.13
Yonathan Mengesha,St. John's University,34:46.40,64.79
Pierce Lehtonen,St. John's University,35:59.00,50.27
Fahim Nousad,St. John's University,36:52.70,39.53
Adam Chang,Princeton University,37:01.90,37.69
Andres Hernandez,St. John's University,48:04.40,-94.81
William Zhou,St. John's University,48:21.70,-98.27
