Yuzki Oey,Princeton University,23:02.60,115.87
Lindy Zeng,Princeton University,23:04.90,115.26
Catherine Song,Princeton University,23:17.50,111.90
Erin Gibbons,University of Connecticut,23:43.30,105.02
Annie Levine,Princeton University,23:57.90,101.13
Lillian Chen,Princeton University,24:11.20,97.58
Clare Cook,Princeton University,24:17.60,95.87
Maura Oei,University of Connecticut,24:27.90,93.13
Gabrielle Lemma,University of Connecticut,24:33.90,91.53
Veronika Cencen,Princeton University,24:38.00,90.43
Lindsay Cadwallader,University of Connecticut,24:45.60,88.41
Catherine Miles,Rutgers University,24:51.00,86.97
Ariane Garrett,University of Connecticut,25:01.40,84.19
Carly Kenselaar,Rutgers University,25:03.90,83.53
JaHyun Yang,University of Pennsylvania,25:10.00,81.90
Danielle Buglino,Loyola University Maryland,25:10.50,81.77
Emily Dinubile,Loyola University Maryland,25:13.10,81.07
Marissa Neiman,University of Connecticut,25:23.30,78.35
Michelle Vanagas,Towson University,25:26.90,77.39
Nicole Libbey,Towson University,25:37.40,74.59
Tessa Morrison,University of Connecticut,26:02.40,67.93
Rachel Haviland,University of Connecticut,26:03.90,67.53
Chantell Shalack,Rutgers University,26:08.20,66.38
Emma Pannullo,Princeton University,26:20.20,63.18
Betsy Horstkamp,Towson University,26:24.90,61.93
Bailey Jaronski,Loyola University Maryland,26:25.30,61.82
Laura Turner,University of Connecticut,26:40.30,57.82
Nicole Parenchuck,University of Connecticut,27:07.90,50.46
Kelly Catania,Towson University,27:24.70,45.98
Kara O'Neill,Towson University,27:31.40,44.19
Alexia Martinez,Princeton University,27:39.70,41.98
Alissa Johnson,University of Pennsylvania,28:00.30,36.49
Lily Skou,University of Connecticut,28:22.70,30.51
Shannon Doin,Loyola University Maryland,28:24.90,29.93
Bailey Burgess,Loyola University Maryland,28:26.30,29.55
Aaliyah Derry,Towson University,28:33.70,27.58
Shannon Oscher,Princeton University,28:38.80,26.22
Brittany Kenyon,University of Connecticut,28:42.40,25.26
Sarah Ayers,University of Connecticut,28:42.60,25.21
Jennifer Bugos,Loyola University Maryland,28:59.50,20.70
Christine Lu,Princeton University,28:59.70,20.65
Talitha Wisner,Princeton University,29:14.50,16.70
Holly Labrecque,University of Connecticut,29:25.50,13.77
Ally DeAngelis,University of Connecticut,29:36.30,10.89
Ashley Vetter,St. John's University,30:00.10,4.54
Lindsey McGovern,Loyola University Maryland,30:17.80,-0.18
Sarah Mellor,Loyola University Maryland,30:34.30,-4.58
Molly Donahue,Loyola University Maryland,30:34.40,-4.61
Caitlyn Woodham,St. John's University,32:01.90,-27.94
Christy Foster,St. John's University,33:30.60,-51.59
