Natalie Obssuth,Boston University,19:33.00,117.28
Chelsea Wojeski,Northeastern University,19:43.00,113.94
Jen Pajer,University of Massachusetts Amherst,19:46.00,112.94
Elizabeth McDermott,University of Massachusetts Amherst,20:35.00,96.61
Hayley Gambone,Boston University,20:50.00,91.61
Sunaina Danziger,Harvard University,20:55.00,89.94
Josie Wilson,Yale University,20:57.00,89.28
Kristen Coyne Coyne,University of Massachusetts Amherst,21:01.00,87.94
Kayla Porter,University of Massachusetts Amherst,21:27.00,79.28
Alicia Porter,University of Massachusetts Amherst,21:27.00,79.28
Julia Lu,Yale University,21:32.00,77.61
Erin Dillmann,Northeastern University,21:59.00,68.61
Kristen Althoff,Harvard University,22:00.00,68.28
Anna Moore,Northeastern University,22:06.00,66.28
Alina Acosta,Harvard University,22:28.00,58.94
Abigail Paglia,Northeastern University,22:35.00,56.61
Eliza McNay,Yale University,22:49.00,51.94
Alison Steinbach,Harvard University,22:49.00,51.94
Mary Potts,Northeastern University,22:56.00,49.61
Abby O'Grady,Northeastern University,23:08.00,45.61
Jordan Begley,Northeastern University,23:46.00,32.94
Emerson Desmarais,Providence College,23:52.00,30.94
Alyssa Bravin,Harvard University,23:53.00,30.61
Jess Looney,Providence College,23:56.00,29.61
Alicia Dias,Northeastern University,23:58.00,28.94
Cindy France,Northeastern University,24:11.00,24.61
Jen Kallin,University of Massachusetts Amherst,24:16.00,22.94
Megan Pritchard,Yale University,24:43.00,13.94
Mary Broker,Harvard University,25:08.00,5.61
Taylor Drysdale,Northeastern University,25:15.00,3.28
Audrey Wack,Boston University,25:24.00,0.28
Anastasia Kapitonava,Boston University,25:55.00,-10.06
