Brandon von Kannewurff,University of Virginia,15:11.00,181.91
Patrick Cardel,Duke University,15:20.00,178.91
Dustin Sneed,University of North Carolina,15:27.00,176.57
Aidan Lee,University of Virginia,15:31.00,175.24
Geoffrey Mearns,University of Virginia,15:33.00,174.57
Seth Proctor,University of North Carolina,15:37.00,173.24
Trevor Stutzman,University of Virginia,15:38.00,172.91
Yonel Admasu,University of North Carolina,15:40.00,172.24
Samuel Goldstein,University of North Carolina,15:42.00,171.57
Ethan Ready,Duke University,15:48.00,169.57
Brad Pehr,University of North Carolina,15:48.00,169.57
Jack Zelman,University of Virginia,15:52.00,168.24
Mo Mohammed,University of Georgia,15:54.00,167.57
Anders Pokela,University of North Carolina,15:58.00,166.24
Evan Fisher,University of Virginia,16:02.00,164.91
Yannick Markhof,University of North Carolina,16:04.00,164.24
Christian Acker,Clemson University,16:10.00,162.24
Brian Shields,University of North Carolina,16:11.00,161.91
Eric Royer,University of North Carolina,16:12.00,161.57
Logan Burns,University of Virginia,16:15.00,160.57
Mike Hughes,University of Virginia,16:28.00,156.24
Tom Buff,University of Georgia,16:31.00,155.24
Cameron Champion,University of North Carolina,16:34.00,154.24
James Esernio,University of Virginia,16:36.00,153.57
Sean Hagerup,University of Virginia,16:37.00,153.24
Brian Littlejohn,Clemson University,16:42.00,151.57
Patrick Myers,University of Virginia,16:43.00,151.24
Nate Geerdes,University of Virginia,16:45.00,150.57
Ben Connelly,University of Virginia,16:46.00,150.24
Ben Levy,University of North Carolina,16:49.00,149.24
Ted Terpos,Wake Forest University,16:52.00,148.24
Jack Palagruto,University of North Carolina,16:54.00,147.57
Jordan Shimer,George Mason University,16:56.00,146.91
Stone Mathers,Duke University,17:02.00,144.91
Jonathan Lee,University of Virginia,17:02.00,144.91
Sidney Lisanza,University of North Carolina,17:05.00,143.91
Mason Zeagler,University of North Carolina,17:07.00,143.24
Desi Ferreira,Clemson University,17:10.00,142.24
Daniel Sausen,University of Virginia,17:10.00,142.24
Christian Dickens,University of North Carolina,17:11.00,141.91
Nick Gladden,Clemson University,17:13.00,141.24
Nate Bolon,University of Virginia,17:15.00,140.57
Ryan Carter,University of North Carolina,17:18.00,139.57
Akbar Jamani,University of North Carolina,17:19.00,139.24
Brian Neumann,University of Virginia,17:21.00,138.57
Tom Hatley,University of North Carolina,17:22.00,138.24
Matthew Justus,Clemson University,17:23.00,137.91
Blake Wynveen,Wake Forest University,17:25.00,137.24
Derek Mann,University of North Carolina,17:27.00,136.57
Matt Denecke,University of Virginia,17:27.00,136.57
Ethan Jones,University of Virginia,17:33.00,134.57
Andy Clark,University of Georgia,17:34.00,134.24
Andrew Zachman,University of North Carolina,17:38.00,132.91
Jesus Gonzalez-Ventura,University of North Carolina,17:42.00,131.57
Jose Robles,University of North Carolina,17:43.00,131.24
Raul Mehta,University of North Carolina,17:47.00,129.91
Frank Bragg,Wake Forest University,17:48.00,129.57
Doo Park,University of North Carolina,17:49.00,129.24
Spencer Kirk,Wake Forest University,18:00.00,125.57
Bryan Koblitz,University of Georgia,18:04.00,124.24
Henry Mandeville,University of North Carolina,18:07.00,123.24
Noah Pritt,Duke University,18:11.00,121.91
Steven Tulevech,University of North Carolina,18:12.00,121.57
Jack Wren,University of Virginia,18:15.00,120.57
Michael Weaver,University of North Carolina,18:20.00,118.91
Michael Borten,University of Virginia,18:23.00,117.91
Nathan Steele,Clemson University,18:25.00,117.24
Scott Silvey,University of Virginia,18:26.00,116.91
James Tatter,University of North Carolina,18:27.00,116.57
Eli Barr,University of North Carolina,18:28.00,116.24
Hamilton Armit,University of Georgia,18:29.00,115.91
Jake Strauss,University of North Carolina,18:33.00,114.57
JP Hussey,University of North Carolina,18:34.00,114.24
Timmy Keller,University of Georgia,18:36.00,113.57
Forrest Kidwell,University of Virginia,18:37.00,113.24
Christian Baumgarth,University of Georgia,18:40.00,112.24
Anthony Schneider,Duke University,18:48.00,109.57
Chandler Averette,Wake Forest University,18:54.00,107.57
David Tang,University of North Carolina,18:56.00,106.91
Jordan Berka,University of North Carolina,18:59.00,105.91
Michael Alleyne,University of North Carolina,19:00.00,105.57
Jahmani Smith,University of Georgia,19:07.00,103.24
Victor Arahirwa,University of North Carolina,19:08.00,102.91
Jackie Lin,University of North Carolina,19:14.00,100.91
Travis Moe,University of Virginia,19:20.00,98.91
Thomas Cecil,Wake Forest University,19:24.00,97.57
Matt Washko,University of North Carolina,19:25.00,97.24
Joseph Dennie,University of Virginia,19:28.00,96.24
Jack Moody,University of North Carolina,19:30.00,95.57
Matt Brown,University of Georgia,19:32.00,94.91
Ian Maurer,University of Georgia,19:37.00,93.24
Thomas Marshall,Duke University,19:47.00,89.91
Lucas Drakulic,University of North Carolina,19:51.00,88.57
Tyler Ohsfeldt,Clemson University,20:00.00,85.57
Adam Klein,University of Virginia,20:10.00,82.24
James Mosca,Duke University,20:15.00,80.57
Ryan Humphrey,Duke University,20:17.00,79.91
Tejas Kapadia,University of Georgia,20:20.00,78.91
Jeremy Schimmel,George Mason University,20:38.00,72.91
Andrew Garcia,University of North Carolina,20:56.00,66.91
Rohil Chekuri,University of North Carolina,21:03.00,64.57
Anthony Criscione,Wake Forest University,21:06.00,63.57
Jack Winterhalter,University of Virginia,21:14.00,60.91
Ken Hawrey,University of Virginia,21:17.00,59.91
Perry Waddell,University of Georgia,21:32.00,54.91
Barry Seng,University of North Carolina,21:44.00,50.91
Eric Reit,Duke University,21:45.00,50.57
Gavin Bach,University of Georgia,22:19.00,39.24
Ian Mills,Clemson University,22:53.00,27.91
