EIU Invitational,02/09/2016,8000,
4359,University of Illinois,1595.54,175.992
4358,University of Illinois,1620.56,170.988
1423,University of Illinois,1625.62,169.976
4361,University of Illinois,1635,168.1
1404,University of Illinois,1639.27,167.246
4362,University of Illinois,1646.46,165.808
4360,University of Illinois,1649.84,165.132
1428,University of Illinois,1654.41,164.218
2302,University of Illinois,1664.04,162.292
5596,University of Illinois,1664.12,162.276
2299,University of Illinois,1674.66,160.168
5597,University of Illinois,1697.46,155.608
5598,University of Illinois,1731.67,148.766
2305,University of Illinois,1752.97,144.506
5599,University of Illinois,1761.67,142.766
5600,University of Illinois,1814.45,132.21
4366,University of Illinois,1829.19,129.262
1424,University of Illinois,1831.21,128.858
2301,University of Illinois,1844.95,126.11
5601,University of Illinois,1897.48,115.604
2304,University of Illinois,1906.12,113.876
5602,University of Illinois,1962.27,102.646
1436,University of Illinois,1997.07,95.686
5603,University of Illinois,2123.04,70.492
