EIU Invitational,02/09/2016,6000,
5604,University of Illinois,1170.25,118.7033333
4371,University of Illinois,1170.33,118.6766667
1454,University of Illinois,1171.07,118.43
1462,University of Illinois,1222.5,101.2866667
2311,University of Illinois,1282.94,81.14
5605,University of Illinois,1307.14,73.07333333
5606,University of Illinois,1345.69,60.22333333
5607,University of Illinois,1353.73,57.54333333
4983,University of Illinois,1358.99,55.79
1460,University of Illinois,1365.37,53.66333333
3826,University of Illinois,1395.2,43.72
5608,University of Illinois,1407,39.78666667
3839,University of Illinois,1413.31,37.68333333
5609,University of Illinois,1455.09,23.75666667
